-0.186,0.658
1.479,0.6542
3.203,0.68
5.245,0.712
8.732,0.8059
11.942,0.9296
15.191,1.0544
18.837,1.2129
22.779,1.3988
27.018,1.6333
30.94,1.8711
34.603,2.1259
38.604,2.4177
43.099,2.7559
46.287,3.0098
49.574,3.286
53.93,3.6497
57.672,3.9638
62.484,4.3728
67.434,4.823
71.334,5.1953
75.728,5.6628
78.42,5.99
80.062,6.2181
81.19,6.3659
81.962,6.4419
82.437,6.466
83.468,6.4635
85.372,6.4299
87.791,6.3813
91.142,6.3218
94.433,6.2675
98.061,6.2216
102.661,6.1701
106.626,6.1336
111.443,6.1137
116.205,6.0956
122.125,6.0625
128.469,6.056
134.438,6.0684
139.458,6.0517
140.957,6.0418
141.956,6.0121
142.731,5.9744
144.431,5.8683
146.28,5.7382
148.355,5.6159
150.355,5.5004
152.954,5.3953
157.226,5.2882
162.921,5.2193
165.719,5.1795
171.914,5.1144
180.382,5.027
187.825,4.9453
195.844,4.8581
203.462,4.7657
210.707,4.6802
217.651,4.6054
223.621,4.5297
228.917,4.4609
238.459,4.3384
