51,829,4.7,,230.2777778,4700,,5084.444444,,,63.95835004,,24.8552746,,32.86809185,,24.82927743,,19.26126074
52,852,5,,236.6666667,5000,,5323.333333,,,#NUM!,,28.65611697,,4.067556374,,11.78359485,,18.7951731
53,868,5.2,,241.1111111,5200,,5566.805556,,,33.15340842,,30.94588488,,13.05092493,,17.98769618,,16.67510632
54,885,5.4,,245.8333333,5400,,5815.833333,,,34.7698972,,11.43121037,,30.65926231,,21.71553923,,20.93571345
55,908,5.7,,252.2222222,5700,,6070.416667,,,#NUM!,,17.3414428,,22.85865374,,18.45780234,,14.44380667
56,925,5.9,,256.9444444,5900,,6329.861111,,,38.22403747,,20.4500513,,9.877509256,,22.70361671,,19.11173214
57,943,6.1,,261.9444444,6100,,6595.138889,,,39.56720693,,23.21426957,,28.06051472,,19.36615527,,17.70690384
58,967,6.4,,268.6111111,6400,,6866.388889,,,#NUM!,,26.36283308,,19.66277214,,16.26020471,,17.77496671
59,986,6.6,,273.8888889,6600,,7142.916667,,,42.49577195,,28.46350323,,22.54625606,,26.8243188,,21.5113035
60,1005,6.9,,279.1666667,6900,,7424.861111,,,#NUM!,,9.72621237,,25.40561448,,24.23154722,,20.4915493
61,1025,7.1,,284.7222222,7100,,7713.333333,,,44.81716503,,32.50191427,,27.60614985,,21.24510427,,24.37437662
62,1052,7.4,,292.2222222,7400,,8008.888889,,,#NUM!,,19.59271479,,20.22440401,,24.82927743,,20.0159596
63,1076,7.6,,298.8888889,7600,,8312.916667,,,47.41433911,,36.16662738,,32.24064056,,27.26604445,,23.64749692
64,1113,8,,309.1666667,8000,,8626.25,,,#NUM!,,#NUM!,,16.16635243,,20.456642,,24.69874227
65,1143,8.2,,317.5,8200,,8947.916667,,,50.33498709,,28.98870513,,29.36560111,,28.64333481,,27.82961202
66,1173,8.5,,325.8333333,8500,,9279.444444,,,21.14944993,,16.17262853,,23.48025251,,26.83904426,,24.34373264
67,1214,8.8,,337.2222222,8800,,9621.111111,,,25.18997323,,34.40170446,,27.16776068,,25.67690639,,28.01002449
68,1246,9.1,,346.1111111,9100,,9971.527778,,,28.59212264,,25.29176101,,21.52890441,,28.54458429,,27.68379388
69,1277,9.3,,354.7222222,9300,,10332.22222,,,55.19752012,,38.40184369,,38.43963367,,30.7914075,,30.0183827
70,1320,9.7,,366.6666667,9700,,10703.47222,,,#NUM!,,31.52553024,,28.71990307,,29.87700123,,30.48529123
71,1353,10,,375.8333333,10000,,11083.88889,,,36.09115724,,33.78924465,,31.22845465,,28.59212264,,30.24087618
72,1386,10.3,,385,10300,,11475.13889,,,37.94429199,,25.67856383,,33.82216213,,31.08084704,,30.04784713
73,1431,10.7,,397.5,10700,,11877.5,,,#NUM!,,29.26007978,,30.60867738,,27.08813264,,30.60278707
74,1466,11,,407.2222222,11000,,12289.58333,,,41.78943467,,31.63947386,,26.81680735,,33.11938259,,30.53288868
75,1501,11.3,,416.9444444,11300,,12713.33333,,,43.28033598,,33.7661705,,35.24105435,,32.41629605,,32.5654281
76,1550,11.7,,430.5555556,11700,,13148.61111,,,19.27365887,,36.38018648,,32.51341865,,32.20726444,,30.96567165
77,1584,12,,440,12000,,13593.88889,,,46.43199381,,38.10462179,,34.48824023,,34.5688145,,33.10901551
78,1622,12.3,,450.5555556,12300,,14051.52778,,,47.64387224,,39.78135057,,41.00367136,,36.5490565,,33.26161962
79,1673,12.7,,464.7222222,12700,,14521.66667,,,29.06707003,,41.87113972,,38.75167362,,33.91866894,,35.92720778
80,1712,13.1,,475.5555556,13100,,15002.63889,,,31.69985844,,36.77708576,,36.22304593,,36.15850196,,34.53117682
81,1751,13.4,,486.3888889,13400,,15496.52778,,,51.41047952,,38.49283148,,42.13266891,,37.93955705,,36.4498139
82,1805,13.9,,501.3888889,13900,,16003.47222,,,#NUM!,,34.09981911,,36.16530576,,35.68025751,,35.81951599
83,1845,14.2,,512.5,14200,,16521.52778,,MAX Q,53.71651718,,42.08096924,,37.89339545,,39.71513723,,37.6293766
84,1885,14.6,,523.6111111,14600,,17051.11111,,,39.45553714,,37.61975655,,39.73839496,,39.33072489,,36.4327877
85,1928,14.9,,535.5555556,14900,,17594.16667,,,55.49465717,,49.99050523,,44.59495149,,40.89544559,,39.78304546
86,1982,15.4,,550.5555556,15400,,18150.83333,,,22.96900177,,41.18844899,,39.5114499,,41.04039226,,38.99404236
87,2026,15.8,,562.7777778,15800,,18721.80556,,,44.06404421,,42.57566086,,44.42446639,,40.72104759,,39.30908745
88,2085,16.3,,579.1666667,16300,,19307.22222,,,28.87214898,,33.14612199,,39.69407119,,39.02160971,,40.13701468
89,2130,16.6,,591.6666667,16600,,19905.27778,,,59.17247071,,45.5417697,,44.16715952,,42.40772252,,41.6259581
90,2176,17,,604.4444444,17000,,20518.61111,,,48.02284972,,46.73387825,,42.53689836,,43.76174269,,41.91944526
91,2240,17.6,,622.2222222,17600,,21147.22222,,,11.96874555,,43.8308638,,41.37883712,,40.73772305,,41.64904039
92,2286,17.9,,635,17900,,21788.75,,,61.49453391,,45.04738547,,45.46870792,,45.25245,,42.96392633
93,2333,18.3,,648.0555556,18300,,22446.11111,,,51.42697523,,46.21537771,,49.31660364,,45.04443656,,43.26495006
94,2400,18.9,,666.6666667,18900,,23119.58333,,,24.11316446,,47.74636302,,43.01914062,,43.73703503,,43.05779767
95,2449,19.3,,680.2777778,19300,,23806.80556,,,53.56311725,,44.79686482,,44.26591361,,43.63226397,,44.33936747
96,2499,19.7,,694.1666667,19700,,24510.55556,,,54.40490534,,45.94375059,,50.34902076,,46.29724241,,44.6405109
97,2568,20.3,,713.3333333,20300,,25231.52778,,,31.50709147,,47.44259879,,44.6029322,,45.14882154,,45.37267325
98,2623,20.7,,728.6111111,20700,,25967.5,,,56.30261917,,48.51219924,,45.78629534,,47.70893246,,45.70930744
99,2676,21.1,,743.3333333,21100,,26721.52778,,,57.07786536,,49.51301045,,51.38285157,,47.61125588,,46.83823345
100,2753,21.7,,764.7222222,21700,,27494.02778,,,37.27605617,,50.84206038,,48.36676555,,46.64245102,,45.79026476
101,2809,22.2,,780.2777778,22200,,28282.36111,,,49.6654777,,48.49087477,,47.2951753,,49.00664622,,47.05645597
102,2867,22.6,,796.3888889,22600,,29089.16667,,,59.50922841,,49.49851193,,52.45505165,,48.95095389,,48.15825685
103,2942,23.2,,817.2222222,23200,,29914.58333,,,41.95470178,,50.79229938,,49.69169888,,48.02431552,,48.788364
104,3001,23.6,,833.6111111,23600,,30756.52778,,,61.0134865,,54.66800691,,50.64393779,,51.20390906,,49.09224517
105,3061,24.1,,850.2777778,24100,,31618.33333,,,53.56835038,,52.60637473,,53.52818757,,51.15444665,,49.40150685
106,3144,24.8,,873.3333333,24800,,32500,,,35.68382946,,50.8792886,,51.02902726,,49.40426449,,50.06621161
107,3204,25.2,,890,25200,,33398.61111,,,63.01956613,,51.76737582,,51.92427913,,52.32175212,,50.33844848
